File+Name,Experiment
C57 D10 D+E 1-2_CD45 gated.fcs,C57
C57 D10 D+E 2-1_CD45 gated.fcs,C57
C57 D10 D+E 2-2_CD45 gated.fcs,C57
C57 D10 D+E 3-1_CD45 gated.fcs,C57
C57 D10 D+E 3-2_CD45 gated.fcs,C57
E7 D10_D+E 1-1_CD45 gated.fcs,E7
E7 D10_D+E 2_CD45 gated.fcs,E7
E7 D10_D+E 2-1_CD45 gated.fcs,E7
E7 D10_D+E 3_CD45 gated.fcs,E7
E7 D10_D+E 3-1_CD45 gated.fcs,E7
E7RB_D10_D+E_1-2 CD45 gated.fcs,E7RB
E7RB_D10_D+E_2-1 CD45 gated.fcs,E7RB
E7RB_D10_D+E_2-2 CD45 gated.fcs,E7RB
E7RB_D10_D+E_3-1 CD45 gated.fcs,E7RB
E7RB_D10_D+E_3-2 CD45 gated.fcs,E7RB
K5mOVA_D10_D+E_1-1 CD45 gated.fcs,K5mOVA
K5mOVA_D10_D+E_1-2 CD45 gated.fcs,K5mOVA
K5mOVA_D10_D+E_2-1 CD45 gated.fcs,K5mOVA
K5mOVA_D10_D+E_3-1 CD45 gated.fcs,K5mOVA
K5mOVA_D10_D+E_3-2 CD45 gated.fcs,K5mOVA
